Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level,Egg Target,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type,Target # to Mark,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,0,Transfer In,Egg,Spius Cr,Spius Creek H,,125,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Primary,0,Release,Fed Fry,Chilcotin R,Williams Lk Schools,29G,100,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary,0,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,250,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,Education,Primary,0,Release,Fed Fry,Williams Lk R,Williams Lk Schools,29G,200,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,300,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Alternate,0,Release,Fed Fry,Williams Lk R,Williams Lk Schools,29G,250,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,300,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,Education,Alternate,0,Release,Fed Fry,Williams Lk R,Williams Lk Schools,29G,250,,,,,,,Preliminary
BC Interior,PIP,Central Okanagan Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,0,Transfer In,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,1100,,,,,,,Preliminary
BC Interior,PIP,Central Okanagan Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,Education,Alternate,0,Release,Smolt 0+,Shuswap R Low,Kelowna Schools,29K,1000,,,,,,Alternate to Mission Cr kokanee eggs.,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,0,Transfer In,Fry,Thompson R N,Dunn Creek H,,10000,,,,,,"Fish in excess of 20,000 will be released as fry in Deadman River based on Habitat Capacity calculations",Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,0,Transfer In,Smolt,Thompson R N,Dunn Creek H,,20000,,,,,,,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,30000,Transfer Out,Egg,Thompson R N,Dunn Creek H,,30000,,,,,,"Brood collected at Deadman and transported to Dunn Cr for spawning. 30K eggs reared at Dunn. 20K smolt and 10K fry transferred back to Deadman, acclimatized and released.",Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,Conservation,Primary,0,Release,Fed Fry,Deadman R,Deadman River H,29F,9000,,,,,,,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,Conservation,Primary,0,Release,Smolt 1+,Deadman R,Deadman River H,29F,19000,,,,,,,Preliminary
BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F,Harvest,Primary,0,Release,Chan Fry,Gates Cr,Gates Spawning Channel,29F,0,,,,,,2021: Operation of this channel was suspended in 2020. Channel upgrades are currently being planned.,Planning
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,400,Transfer In,Egg,Deadman R,Deadman River H,,400,,,,,,,Planning
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,Education,Primary,0,Release,Fed Fry,Bonaparte R,Gold Trail Schools,29F,300,,,,,,,Planning
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Gates Cr,CO-48,INTERIOR FRASER,29F,Education,Primary,1000,Release,Fed Fry,Seton R,Gold Trail Schools,29G,900,,,,,,,Planning
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Seton R,CO-48,INTERIOR FRASER,29G,Education,Primary,2000,Release,Fed Fry,Seton R,Gold Trail Schools,29G,900,,,,,,,Planning
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,Education,Alternate,2000,Release,Fed Fry,Spius Cr,Gold Trail Schools,29F,1900,,,,,,Alternate egg source if brood collection from Gates or Seton is unsuccessful.,Preliminary
BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-06-10,QUESNEL-SUMMER TIMING,29G,Harvest,Primary,45000000,Release,Chan Fry,Horsefly Ch,Horsefly Spawning Channel,29G,22500000,,,,,,Target based on fully loaded channel.,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,Education,Primary,100,Release,Fed Fry,Deadman R,Kamloops School,29F,90,,,,,,,Planning
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary,0,Transfer In,Egg,Thompson R N,Dunn Creek H,,4800,,,,,,Adult coho are taken live as brood from Dunn Cr fence.,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,Education,Primary,0,Release,Fed Fry,Blue R,Kamloops School,29J,50,,,,,,,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,Education,Primary,0,Release,Fed Fry,Dunn Cr,Kamloops School,29J,180,,,,,,,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,Education,Alternate,0,Release,Fed Fry,Dunn Cr,Kamloops School,29J,4450,,,,,,Alternate release site to Tranquille River.,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,Education,Primary,0,Release,Fed Fry,Tranquille R,Kamloops School,29J,4450,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,60000,Transfer Out,Egg,N Okanagan-Shuswap Sch,N Okanagan-Shuswap Sch,,700,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,0,Transfer Out,Egg,Revelstoke Sch,Revelstoke Schools,,300,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,0,Transfer Out,Egg,Vernon Sch,Vernon Schools,,950,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,Stewardship,Primary,0,Release,Fed Fry,Shuswap R Low,Kingfisher Creek/ TOMF H,29K,50000,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,0,Transfer In,Egg,Shuswap R,"Shuswap River, Middle, H",,50000,,,,,,"If Kingfisher can not obtain their egg target, up to 50K eggs may be transferred from Shuswap hatchery.",Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,0,Transfer Out,Egg,Central Okanagan Sch,Kelowna Schools,,1100,,,,,,Alternate to Mission Cr Kokanee eggs.,Preliminary
BC Interior,PIP,N Okanagan-Shuswap Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Primary,0,Transfer In,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,1300,,,,,,,Preliminary
BC Interior,PIP,N Okanagan-Shuswap Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,Education,Primary,0,Release,Smolt 0+,Shuswap R Low,N Okanagan-Shuswap Sch,29K,1200,,,,,,,Preliminary
BC Interior,PIP,N`Quatqua,,Chinook,Spring,Bridge R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29F,Conservation,Primary,65000,Release,Fed Fry,Bridge R,N'Quatqua H,29F,60000,,,,,,"In addition to the objective of enhancing Bridge River Chinook, the fence on Bridge River may also be used to capture Chinook destined to the Upper Fraser for the Big Bar conservation enhancement project (Upper Fraser Chinook often migrate into Bridge River during years of high water).  This is a contingency plan if the Big Bar team has trouble capturing brood at the Fraser sites.",Preliminary
BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,29I,Harvest,Primary,45000000,Release,Chan Fry,Nadina R,Nadina Spawning Channel,29I,22500000,,,,,,Target based on fully loaded channel.,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary,0,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,150,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,Stewardship/Education,Primary,0,Release,Fed Fry,Nechako R,Nechako Lks (Vanderh) Sch,29I,125,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,150,,,,,,Eggs may be transferred in from Quesnel R Research Facility if insufficient Salmon+Nechako brood.  The other alternate broodstock is McKinley Creek coho transferred into the Quesnel R Research Facility.,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Alternate,0,Release,Fed Fry,Nechako R,Nechako Lks (Vanderh) Sch,29I,125,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,150,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,Education,Alternate,0,Release,Fed Fry,McKinley Cr,Nechako Lks (Vanderh) Sch,29G,125,,,,,,,Preliminary
BC Interior,PIP,Nicola-Similkameen Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,,Primary,0,Transfer In,Egg,Spius Cr,Spius Creek H,,600,,,,,,Stream to Sea Program SD #58 (Nicola-Similkameen)  Brood collected at Spius Hatchery outflow ditch.,Preliminary
BC Interior,PIP,Nicola-Similkameen Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,Education,Primary,0,Release,Fed Fry,Spius Cr,Merritt Schools,29F,550,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,Education,Primary,500,Release,Fed Fry,Salmon R/UPFR,Pr George (Mackenzie) Sch,29I,450,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,500,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Alternate,0,Release,Fed Fry,Nechako R,Pr George (Mackenzie) Sch,29I,450,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,500,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,Education,Alternate,0,Release,Fed Fry,McKinley Cr,Pr George (Mackenzie) Sch,29G,450,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Cariboo R Up,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Cariboo R Up,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,Conservation,Primary,0,Release,Fed Fry,Cariboo R Up,Quesnel River H,29G,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,Conservation,Primary,0,Release,Fed Fry,Chilako R,Quesnel River H,29I,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilcotin River (Upper),CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilcotin River (Upper),CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,0,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilcotin River (Upper),CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,Conservation,Primary,0,Release,Fed Fry,Chilcotin River (Upper),Quesnel River H,29G,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilcotin River (Upper),CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,Conservation,Primary,0,Release,Fed Fry,Chilcotin River (Upper),Quesnel River H,29G,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Endako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Endako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,Conservation,Primary,0,Release,Fed Fry,Endako R,Quesnel River H,29I,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Horsefly R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Horsefly R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,Conservation,Primary,0,Release,Fed Fry,Horsefly R,Quesnel River H,29G,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,McGregor R,CK-12,UPPER FRASER RIVER_SP_1.3,29I,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,McGregor R,CK-12,UPPER FRASER RIVER_SP_1.3,29I,Conservation,Primary,0,Release,Fed Fry,Seebach Cr,Quesnel River H,29I,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Salmon R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Salmon R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I,Conservation,Primary,0,Release,Fed Fry,Salmon R/UPFR,Quesnel River H,29I,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Slim Cr,CK-12,UPPER FRASER RIVER_SP_1.3,29I,Conservation,Primary,40000,Release,Fed Fry,Slim Cr,Quesnel River H,29I,35000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Tete Jaune,,,29J,Conservation,Alternate,40000,Release,Fed Fry,Tete Jaune,Quesnel River H,29J,35000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Torpy R,,,29I,Conservation,Primary,40000,Release,Fed Fry,Torpy R,Quesnel River H,29I,35000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,West Road R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29H,,Primary,67000,Transfer Out,Egg,Chehalis R,Chehalis River H,,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,West Road R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29H,Conservation,Primary,0,Release,Fed Fry,West Road R,Quesnel River H,29H,32000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Willow R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I,Conservation,Primary,40000,Release,Fed Fry,Willow R/UPFR,Quesnel River H,29I,35000,,,,,,,Final
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,5000,Transfer Out,Egg,Car-Chilc (Williams) Sch,Williams Lk Schools,,650,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer Out,Egg,Nechako Lks (Vanderh) Sch,Nechako Lks (Vanderh) Sch,,150,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer Out,Egg,Pr George (Mackenzie) Sch,Pr George (Mackenzie) Sch,,125,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,0,Transfer Out,Egg,Quesnel Sch,Quesnel Schools,,250,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Primary,0,Release,Eyed Egg,Quesnel R,Quesnel River H,29G,3000,,,,,,These are allotted for excess survival as Quesnel R egg plants after transfers of eggs to schools are complete.,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,3000,Transfer Out,Egg,Car-Chilc (Williams) Sch,Williams Lk Schools,,300,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer Out,Egg,Nechako Lks (Vanderh) Sch,Nechako Lks (Vanderh) Sch,,150,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer Out,Egg,Pr George (Mackenzie) Sch,Pr George (Mackenzie) Sch,,500,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer Out,Egg,Quesnel R Research Centre,Quesnel River H,,200,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer Out,Egg,Quesnel Sch,Quesnel Schools,,250,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary,0,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,250,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,Education,Primary,0,Release,Fed Fry,Baker Cr,Quesnel Schools,29H,200,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,250,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Education,Alternate,0,Release,Fed Fry,Quesnel R,Quesnel Schools,29G,200,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Alternate,0,Transfer In,Egg,Quesnel R Research Centre,Quesnel River H,,250,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,Education,Alternate,0,Release,Fed Fry,McKinley Cr,Quesnel Schools,29G,200,,,,,,,Preliminary
BC Interior,PIP,Revelstoke Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Primary,0,Transfer In,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,300,,,,,,,Preliminary
BC Interior,PIP,Revelstoke Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,Education,Primary,0,Release,Fed Fry,Shuswap R Low,Revelstoke Schools,29K,250,,,,,,,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,50000,Transfer Out,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,50000,,,,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.,Preliminary
